,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min
51,2020-02-21 05:00:00+00:00,2.0,22.81205,35.8583,7.508299,0.0,0.0,0.0,12.402748,23.9359,220.16821,15.135799,24.7883,1.1183014,72.66386,91.56312,60.24531,992.31537,1001.41516,987.52496
52,2020-02-22 05:00:00+00:00,3.0,25.354548,42.5183,11.108299,0.0,0.0,0.0,9.05087,12.5272,200.06529,20.46455,30.5483,9.668301,82.930016,95.68669,57.808407,983.2615,987.56866,978.9059
53,2020-02-23 05:00:00+00:00,3.0,30.495802,41.978302,19.7483,0.0,0.0,0.0,9.619101,19.0145,260.13425,24.12455,31.2683,17.2283,78.073456,92.98037,59.8673,980.2137,983.8456,978.1941
54,2020-02-24 05:00:00+00:00,3.0,26.4908,38.6483,14.168301,0.0,0.0,0.0,8.750073,10.9613,357.43475,20.682055,25.7783,13.358299,79.97849,96.50895,56.936287,984.16406,986.3196,982.64435
55,2020-02-25 05:00:00+00:00,3.0,28.08455,36.0383,22.2683,0.0,0.0,0.0,10.20229,19.9093,12.083264,21.293303,23.7983,18.5783,76.25081,88.15813,56.779457,992.02515,995.56067,986.64655
56,2020-02-26 05:00:00+00:00,3.0,21.390802,27.8483,14.438299,0.0,0.0,0.0,9.517114,17.6723,324.70276,14.978299,21.7283,11.8283,77.08112,89.150375,53.393654,994.1899,996.58496,990.6032
57,2020-02-27 05:00:00+00:00,3.0,16.72205,22.8983,11.7383,0.0,0.0,0.0,6.9093976,14.764199,329.16223,10.028298,14.528301,7.688299,75.700554,88.908356,54.77975,989.0569,990.0955,987.6855
58,2020-02-28 05:00:00+00:00,3.0,14.108299,24.5183,4.8983,0.0,0.0,0.0,8.7357645,14.9879,323.57513,6.199549,10.748299,1.8382988,72.09256,89.0393,48.625435,989.1082,991.0468,986.5855
59,2020-02-29 05:00:00+00:00,3.0,21.589548,39.6383,2.1082973,0.0,0.0,0.0,8.998192,17.0012,173.5368,16.410799,30.8183,-0.051700592,81.06341,90.48459,65.529755,984.01074,990.22394,976.3692
60,2020-03-01 05:00:00+00:00,3.0,36.20705,46.0283,30.0083,0.0,0.0,0.0,10.116089,27.291399,241.82571,29.974548,32.9783,26.678299,78.75732,92.23138,56.149956,973.6592,978.336,970.05286
61,2020-03-02 05:00:00+00:00,3.0,30.360804,34.6883,26.0483,0.0,0.0,0.0,8.704201,17.2249,258.8637,24.6233,28.3883,22.0883,79.42031,89.384605,64.33982,976.3326,979.30066,970.3418
62,2020-03-03 05:00:00+00:00,71.0,32.937046,40.1783,27.0383,0.023622047,0.007874016,0.11023622,14.555979,28.409899,267.57764,26.5133,29.3783,22.9883,77.63241,88.52496,60.4469,970.16473,976.02216,966.5973
63,2020-03-04 05:00:00+00:00,71.0,31.57205,43.5083,18.8483,0.007874016,0.003937008,0.027559055,11.106429,20.133,211.26366,23.02955,29.1983,16.148298,72.45095,89.639824,46.88496,980.9016,984.0027,976.6292
